0,2026275.0318040045,22
1,1987989.3403116867,21
2,2003437.0742180536,20
3,2004924.5605629,21
4,1993534.1329470421,27
5,2069269.8669973316,25
6,1994426.7745396846,22
7,2010006.9201693544,27
8,1992298.4642331784,25
9,2002497.921307318,21
10,2006880.9244843854,25
11,2002409.0715478028,32
12,2009990.3189491006,24
13,1991668.1023467893,19
14,2001234.4459980747,24
15,2018480.5889980104,22
16,1996511.3445955866,27
17,1993820.6818728808,22
18,1996237.0092777456,22
19,2012780.5930357764,24
20,2010496.0777303572,24
21,1998194.9246437987,24
22,2019988.7497672471,27
23,1998244.958287295,28
24,1994084.4641287853,23
