0,5989327.634432334
1,6173560.926780078
2,6020250.010240947
3,6087370.286319013
4,6013662.744485088
5,5939528.226745115
6,6065917.230599128
7,6116496.090157954
8,5981851.998935581
9,6241553.709479368
10,6063918.268526272
11,6098217.596821202
12,6110712.678841546
13,6061439.444102936
14,6090844.462993249
15,6012446.801940542
16,6064746.613553913
17,6011616.134681267
18,5935334.459584915
19,6178987.495787321
20,6035207.894656052
21,6015982.95197472
22,5983295.187617239
23,5986393.967240938
24,6197873.350944468
