0,2749647.656973209
1,2777171.3197648735
2,2647136.539702654
3,2709411.146533116
4,2701732.7925968324
5,2720125.114918116
6,2783266.4380529635
7,2838051.76894617
8,2770949.4221527614
9,2654709.7317560385
10,2770157.4409033554
11,2747555.2167482735
12,2648291.258216949
13,2814570.520302656
14,2758502.475857968
15,2796283.6074377717
16,2822837.6807687096
17,2743394.2539951243
18,2770082.347317199
19,2756046.785800076
20,2855498.3069243007
21,2672056.2048635343
22,2701213.6730386745
23,2703682.5244271066
24,2685981.577359542
