0,2173817.3581729657
1,2160064.3792213034
2,2167153.4823672534
3,2149773.296648205
4,2239497.002893485
5,2203152.3120860574
6,2130099.533710941
7,2258007.83679066
8,2139691.4793336154
9,2213489.965901222
10,2260858.9390352145
11,2171065.7257006397
12,2151901.6396705224
13,2158276.5711485436
14,2219921.5195907583
15,2196502.35855525
16,2218745.9079610417
17,2185844.209860315
18,2299967.123646024
19,2199252.4224271243
20,2121574.716962924
21,2155615.083150745
22,2162191.238518141
23,2227956.965906387
24,2141585.6074282364
