0,9504053.050794374
1,9551567.103242038
2,9551567.103242038
3,9509060.704495935
4,9509060.704495935
5,10984804.320197226
6,9509616.260832405
7,10966805.862696564
8,9507983.270200467
9,9490184.362784212
10,9551567.103242038
11,10951540.421917029
12,9526411.830329785
13,9513184.329942137
14,9551567.103242038
15,9551567.103242038
16,9551567.103242038
17,9513184.329942137
18,9619054.951262442
19,9551776.912054257
20,9519506.645663539
21,11032643.958833342
22,9513184.329942137
23,9504053.050794374
24,11011428.924344411
