0,40926735.38230155,6
1,40926735.38230155,7
2,40926735.38230155,6
3,40926735.38230155,3
4,40926735.38230155,5
5,40926735.38230155,7
6,40926735.38230155,5
7,40905787.40591914,3
8,40905787.40591914,2
9,40905787.40591914,5
10,40926735.38230155,6
11,40926735.38230155,6
12,40926735.38230155,5
13,40905787.40591914,6
14,40926735.38230155,4
15,40926735.38230155,6
16,40905787.40591914,5
17,40926735.38230155,7
18,40905787.40591914,6
19,40926735.38230155,7
20,40905787.40591914,6
21,40905787.40591914,2
22,40926735.38230155,4
23,40926735.38230155,3
24,40905787.40591914,7
