0,6351575.258432642,7308
1,6425364.184324607,7308
2,6321947.009413765,10908
3,6321947.009413765,9712
4,6327351.272925851,14472
5,6327351.272925851,7308
6,6336959.132057126,20332
7,6327351.272925851,10908
8,6426800.785800865,13288
9,6321947.009413765,12100
10,6321947.009413765,7308
11,6336959.132057126,15652
12,6327351.272925851,16828
13,6327351.272925851,15652
14,6321947.009413765,10908
15,6436385.386308201,7308
16,6327351.272925851,12100
17,6336959.132057126,10908
18,6327351.272925851,14472
19,6321947.009413765,6100
20,6409744.734451987,14472
21,6336959.132057126,7308
22,6336959.132057126,22648
23,6336959.132057126,16828
24,6327351.272925851,4888
