0,4706366.168395051,4,8,34
1,4761568.26988868,5,10,34
2,4696204.599347559,8,10,50
3,4757517.691770183,3,6,21
4,4800606.480488127,3,8,13
5,4723102.9452984175,4,12,30
6,4776454.383482645,3,9,15
7,4785515.563018495,4,7,21
8,4748595.964489208,3,8,17
9,4762413.895053438,5,8,30
10,4831964.686833291,3,8,22
11,4751037.277777072,5,5,33
12,4788866.43946373,5,7,27
13,4766936.543756959,4,5,28
14,4833127.550584276,3,6,21
15,4753219.395457503,4,6,41
16,4753020.672630328,4,8,28
17,4792800.008224452,4,5,31
18,4779544.333921439,3,6,25
19,4743659.373383237,5,8,34
20,4763979.004639143,3,6,24
21,4760261.303588981,5,7,28
22,4769845.844569788,5,5,20
23,4708269.269105027,4,8,36
24,4722276.2696754355,7,7,35
