0,24553598.171473246,4,1,34
1,24553598.171473246,4,3,44
2,24553598.171473246,2,3,13
3,24552316.943387512,3,1,40
4,24553598.171473246,4,2,39
5,24552316.943387512,4,2,54
6,24552316.943387512,4,2,34
7,24552316.943387512,3,2,24
8,24553598.171473246,4,2,35
9,24553598.171473246,4,2,35
10,24552316.943387512,4,3,25
11,24553598.171473246,5,2,39
12,24553598.171473246,9,2,83
13,24552316.943387512,4,3,38
14,24559618.732390996,3,3,23
15,24553598.171473246,4,2,31
16,24553598.171473246,4,2,21
17,24559618.732390996,3,2,29
18,24555335.370864045,4,2,40
19,24553598.171473246,3,3,33
20,24553598.171473246,6,3,54
21,24552316.943387512,4,1,49
22,24555335.370864045,4,2,25
23,24553598.171473246,4,2,35
24,24559618.732390996,4,2,39
