0,1123884.3151210132,3,28,12
1,1129687.8282232315,5,32,26
2,1123726.0842568094,3,29,21
3,1123680.8643150423,5,36,19
4,1125644.8125538253,5,28,28
5,1123787.175351297,5,30,23
6,1124648.4917285084,3,34,22
7,1134037.2762629425,5,30,28
8,1126267.3665233036,4,27,26
9,1121439.5689562047,3,26,18
10,1124469.3608515596,4,31,18
11,1122457.822444724,2,37,9
12,1122257.3291071844,3,32,21
13,1122316.8483905734,4,31,23
14,1130607.6167311813,4,37,12
15,1115264.890604618,8,31,41
16,1128136.7960661515,3,32,20
17,1115575.293883274,5,31,33
18,1114530.4689427076,5,26,24
19,1127144.3277228633,3,27,22
20,1121499.7570598966,3,31,24
21,1118625.0052350126,3,32,14
22,1129672.1945600267,4,27,30
23,1125286.3808943802,4,27,27
24,1127534.2502979229,3,31,26
