0,2553961.574491186,3,72,22
1,2568231.263716545,4,68,30
2,2561443.604685938,3,80,26
3,2567776.9376906008,3,69,20
4,2562117.949244342,4,69,33
5,2555689.912192444,5,78,20
6,2577938.862071295,3,74,35
7,2572716.946027561,2,81,16
8,2564823.817441965,3,67,31
9,2558666.4143078974,4,69,24
10,2571473.503278947,3,74,28
11,2557504.1149434536,3,72,32
12,2558580.8566425648,3,75,17
13,2555363.1641074703,3,79,29
14,2566685.0172113976,3,67,28
15,2554222.611264702,3,73,21
16,2574393.0157743027,3,75,30
17,2562855.3390667145,3,61,27
18,2565008.018383002,4,68,32
19,2561970.9073496005,4,65,38
20,2553435.3664681395,4,71,31
21,2558788.487289417,3,70,23
22,2565114.122740577,3,63,27
23,2568437.6756794415,3,56,27
24,2557447.2169811553,3,68,21
